WKT;ID;CODIGO;NOMOFICIAL;ALT_IZQINI;ALT_IZQFIN;ALT_DERINI;ALT_DERFIN;NOMANTER;TIPO_C;LONG;OBSERVA;NOM_MAPA;SENTIDO;COD_SENT;BICISENDA;LADO_CICLO;RECORRID_X;CICLO_OBSE;TOOLTIP_BI
LINESTRING (-58.433778428742961 -34.597818772752916,-58.432993069042354 -34.598658686925951);8702;12145;LOYOLA;202;300;201;299;;CALLE;117.78;corrección altura 9-1-03;LOYOLA;DECRECIENTE;;;;;;
LINESTRING (-58.482127383768947 -34.598250740693189,-58.482417227049382 -34.598702965171327);8710;19050;RIVAS, Gral.;2302;2400;2301;2343;SANTO TOME - ARIAS;CALLE;56.78;;GRAL.RIVAS;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.41750773316501 -34.598877675423857,-58.418806211035267 -34.598516163662879,-58.418967708625161 -34.598475304580987);8751;21060;TUCUMAN;3702;3800;3701;3799;;CALLE;141.17;;TUCUMAN;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.4202127508565 -34.598160450602599,-58.420337731040568 -34.598918269699546);8754;13061;MEDRANO AV.;928;978;927;977;;AVENIDA;84.85;corrección numeración 17-1;AV.MEDRANO;DECRECIENTE;;;;;;
LINESTRING (-58.420337731040568 -34.598918269699546,-58.420612289399529 -34.598790261191802,-58.421862740803832 -34.598209114394642);8755;12089;LAVALLE;3902;4000;3901;3999;LAVALLE, Gral. - RIO DE JANEIRO (parcial);CALLE;160.49;;LAVALLE;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.444692320491221 -34.598063416004734,-58.443737750462958 -34.598927741367845);8757;17003;PADILLA;802;900;801;899;;CALLE;129.85;corrección altura 13-1-03;PADILLA;DECRECIENTE;;;;;;
LINESTRING (-58.440692812729786 -34.598112621320503,-58.439763836700116 -34.598974596161909);8768;3174;CORRIENTES AV.;5302;5400;5301;5399;TRIUNVIRATO (parcial);AVENIDA;128.08;;AV. CORRIENTES;DECRECIENTE;;;;;;
LINESTRING (-58.379834095396333 -34.597726173651928,-58.379828804173826 -34.59782293433171,-58.379752112876595 -34.59880742692345,-58.379742070288479 -34.598971581289369);8774;20123;SUIPACHA;802;900;801;899;;CALLE;138.42;;SUIPACHA;DECRECIENTE;;;;;;
LINESTRING (-58.364001635356118 -34.598975358461566,-58.363530534855478 -34.598938003268884);8779;30063;SANCHEZ DE THOMPSON, MARIQUITA;0;0;0;0;;CALLE;43.41;Asignación de Sentido de Circulación de O a E según Resolución  N.° 852/SSTRANS/14 aparecida en el Boletín Oficial 4549 del 29/12/2014;MARIQUITA SANCHEZ DE THOMPSON;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.364808280061794 -34.599025587595357,-58.364001635356118 -34.598975358461566);8789;30063;SANCHEZ DE THOMPSON, MARIQUITA;312;400;311;399;;CALLE;74.20;Asignación de Sentido de Circulación de O a E según Resolución  N.° 852/SSTRANS/14 aparecida en el Boletín Oficial 4549 del 29/12/2014;MARIQUITA SANCHEZ DE THOMPSON;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.364983286045366 -34.599036432498011,-58.364808280061794 -34.599025587595357);8792;30063;SANCHEZ DE THOMPSON, MARIQUITA;302;310;301;309;;CALLE;16.10;corrección númeración 28-1;MARIQUITA SANCHEZ DE THOMPSON;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
